Quantity;Manufacturer Part;Name
1;0603WAF3300T5E;330Ω
1;3296W-1-103;10kΩ
1;AMS1117-3.3;AMS1117-3.3
1;ATMEGA328P-AU;ATMEGA328P-AU
1;CGA0603X5R476M6R3JT;47uF
1;CH340E;CH340E
1;CL10A106KP8NNNC;10uF
1;CYA0630-47UH;47uH
1;FMQ-BUZZER2;FMQ-BUZZER2
1;KF301-5.0-2P;KF301-5.0-2P
1;KM107M035E11RR0VH2FP0;100uF
1;LM2596S-ADJ/TR;LM2596S-ADJ/TR
1;MF-PSMF050X-2;MF-PSMF050X-2
1;PH2.54-01-03PZS;PH2.54-01-03PZS
1;RC0603FR-0710KL;10kΩ
1;RST100UF16V003;100uF
1;SS34;SS34
1;SZYY0603O;SZYY0603O
1;TMK063ABJ104KP-F;100nF
1;TS-1088-AR02016;TS-1088-AR02016
1;USB-B10-BRW;USB-B10-BRW
1;VT1V221M0810;220uF
1;XL-1608UBC-04;XL-1608UBC-04
1;XSHEELNANF-16MHZ;16MHz
2;A4988;A4988
2;CL05A105KA5NQNC;1uF
2;CL10C220JB8NNNC;22pF
3;0603WAF1001T5E;1kΩ
5;CC0603KRX7R9BB104;100nF
5;DB128V-5.08-4P-GN-S;DB128V-5.08-4P-GN-S
;;
